22NeHRM4gTmPeFwHSt9YAEVQsU4TdrG4GvBLR9ACyYa8,1,M
2CaeWhrAdqtHqQnitVEhEpDXyRcRtdELu9rtFKDiwxY4,1,M
2H7UPu3d2qb2NN2k7Vi19VzJKr8cGXvq3ibRpnZHAtug,1,L
2J6YATRQMZ333buSpDmukCKwgRw6nJS52VxNoLeLn4SL,1,L
2UN44f6tgoqzbzCDJFDtBLoKVdXRFNUpKUDTVHRWtcrz,1,M
2UjaBHLLrRkNRPAVR7j1RUfR7pMaLZtHei4zAiGkRssJ,1,M
2cgw8bjmueNUfagpBxUKGHkJ5vZVsqbHfzBRM8ReVTpS,1,M
2frZf1gtiJYA7UPCpAYDz58tireqDe6fwcEyVYYHjoem,1,L
2jkGxR1QxRxhnv7M4WT5BDVd84qHD3Ri6XboQwAHRSm8,1,S
2jzBCJXbyX8VsrLjRZ7kzsvEaPp8DhorXjf5ctGWvdUS,1,M
2mrEAMZxhzduHmDdEyLsLjVtwWJPusjGuvuyectW3faZ,1,M
2ujHysyGtpt7D8jGhnPjMm6ybmkJjwpisvvCd6uAzRFb,1,S
3EZK2VieyccbJ8h5Xw6WxRWPqcmSvmuAmx2CPWQ8WWCT,1,S
3J7Tf3nzwQshP22Zj3sg57tbb8gXssVxSLXfKD8UFgim,1,L
3QZMJBJw3MgYkB35ekH7f6pVt6z55wiLXZRTyeX8E6gU,1,S
3bh5Vc2ozQbbroSMKrGkXfgZr5MWnSLE6LkJg5btZgJ2,1,M
3dpcMF4PmqJQ45yxgf4TC4mrkNvUNxa72m3A1wE45j8F,1,L
3mSJujiikVHjMduDasU56hpTyg2gxSdsynvfge3cu3k9,1,M
3qvdJ4fB7bntXEywpJFKdLLW11jVs8pr5DevHtCgZ9en,2,M
3rNgiZddq841tTJPfwH4BXe5wVZR3qgbG6AirwkCd5Ek,1,M
3tU8LgJrcAV6rzHJm3DiQSoZmyuBxiEgfAHjN3suq1qe,1,M
3w5fCZsrZkSuJECdaMKMMG5jirEVsZqUJdYYyvfMJpMm,1,M
47k5Nb2A662WuQ9fPRWkFomKQKm9EXsY1gbutGfBC2Tq,1,S
4NKRjC4eYfwGhP2FYhEqprxGRSNjcfBazjHUoFjTWz7q,1,S
4Romg1Cf7fY1rUnRiBEUZ3iFcq2DXbRVnvqdrT4JFsf3,1,M
4WvDJfoFRpvPzXwGgnjGvZPrnHrM5a1kqFKCQ6393Ee9,1,L
4YXJNEQdySo5KgLPaFe2Sym3TttGWPPRt5rZavbmox8x,2,L
4cuFhVjvGgxcpi8AUj3vvXLhktt1fNtrB87tggcxfsAZ,1,M
4fsBJZegKn2vkjajk4hKWf2um6ThZ5aCraY7NqnNtZm9,1,S
4osFpZAH4jqCKd1J19A9cNEFdi2dyfYr1Ay7vCCBHUjX,1,S
4tZb8JgY45voNnd6jndAhAFYwc8etL2Knn4KJ3WHi7tU,1,M
53mLeE6Y8wXGFpvMeDSnc6fL8NvyX8v1cqx8RmXy5VQ1,1,L
5AbZAjRDUHFFP4guEQ2LV26NroU151CoBgFoXe9XWsnT,1,S
5HrXezrWx6HJepoviBqMmwM4y2HVRZxVEiW8hD7Ne4vS,1,M
5MCjNmmfw1gbNjJTsrauEEBpCLnRP8N8zA9LZoKktvim,1,S
5eKwuNMyGQ6fj1TYCbvtyDUZEqZKoXE5LQcs8KqsB97n,1,S
5gMrBBiB5cLFiehpzVGgJcYVSEPyvFCP1DddpbtYS9vQ,1,S
5zEnWVHw7XMbuphvt4Hpz6A87Zwv7HiGrEh4iv5vXPh1,1,S
62v7pM2fGjdGChUyssq85QzPvrHPAMvjQyxo3iVRQAeF,1,S
64D6WpND5Hjt1A8wkxpVc9Uw3JvbT2Wd8EnTP7wYQfoK,1,L
6D1APwGamD86QLaBiGyr2tfjdKfZfAECtWPCoSfef5Bj,1,S
6E6jZ1BNG85rLA6eDCUAwfyySgh1w9yah7QVLHJJUQNk,1,S
6J9xVqojZvW2FvpzghwDsFx3LpoyyrhZZtZY73Pwcnry,1,S
6RaTxGAYeBBpoFPWTTDtz6JRR2qBaZYpm2b4x3LAZuqg,1,S
6VCBm5QuW5V6W4M9mDiffX3AJPYV2oVGdMy8uyc1R2k7,1,S
6X7zTZ5Bt2rfWu6vLvqAoMY2PRRds5W3VSe71C5C9pqo,1,L
6Z9DMj9TD613LGizCGNDjNeAGo5KbG399b1xjyCpgzXN,1,L
6fmJnWMec1QKsSLHmh6PCd2bT88TZZ1FLCU9gwNRuJBe,1,M
6gqUqD1dtzAnJsL2tMN9zQgF7QgNMhActEFwM1Nw9LML,1,M
6jxK2bxNhGtY7szPKiu7G2aiUp7vvHr5G9Psy3wn9d5G,1,S
6mXEAJpRYuV5v8v74mNHWAKpi4BifAPxcipjhJY3rQsA,1,S
6razFVCBVsgTehewSNiw1Z3QLgm7u9pDsAh1mWPeZN72,2,M
6xofwRopeyNCVp1fRStfVDB9SqSBF4JjR6jbXFsVLsgw,1,L
6z4RbrSqiGdVBoiKhMTf3PvupYD8dkhHXBxhhs8fxFsA,1,M
7GWiTBLKjYKm8abaKt5iis2cdsF9yB22Bpx5FamXzTJe,1,S
7ZnFvY8bjrEuegGbgzpPFLu9CYxd1eTAHfAbK1qGxkZE,1,L
7bGrbWVyxcS4VvkNEyDrwz78FbGh13W2zp4w6AmB7Ltw,1,S
7hEmrfKGc4YSR74NSbABUMTt2A38PEyQstgbYrSLPPm6,1,M
7soEDWn57qwHxPyyuNHayQLWxgHp3Nd9rXRCoRiT8kTN,1,L
82LjnXrZiRKQviWXXVUy1pXKmc7JoCtiUkj9CUvtw4vM,1,M
84b9CRsZFkJSEWwpS4qojH94GqSokw2V4sBxmX1tuXtr,1,S
8EVK9TFSqPuMpcX3EQ73oobKNphyyVzE6PEQ6vuXYBS3,1,S
8Mzj7abHKZZUUASAgAAg3c8ACXf6t9p9hx2GyaNuhS7M,1,S
8PCrgtFyMB9tn3M5qamBy61DZvouWkjnmMvhbDasRtfn,1,M
8PP2bvsh63ffhGfBqFydbx3AUP3PjyiBPp5PPcDHgLPJ,1,M
8TrMwbL2hgrzxHrXtvEuVoNWbLgQ6x7gqPsRV91dtuVR,1,M
8YA77VL2WUZkzYr5Thwjufnsxzv9arbpghwrCzkZeGpx,1,L
8cxoqi7z5ec23mRcH8oecdRApAyLEjJ9aDwnz5YSiaBZ,1,S
8doAJQiWcJ37oSkWPhEFK4kDd1AuNmeQNQrmZAZrNYNq,1,L
8hBFAWkSu8rXNHTUNUkgtB99UUYTQ2qqgGCHnmdqtoHV,1,L
8xPghPJhwVeSrgBdExTvCFDGtFdZzqQWr8EgaxZUBs9C,2,M
97cVaF86pvaE3sN3BemRVMv6kcHLFq2Yb7M4LvCQz8Wo,1,L
9cYxG8R7N7UcP8WUcvfPKpx7XECWH2C5PCo5NYsNHdMC,1,S
9dKQBf5XDuuAWGVwFTzMCmMKHk6XGUSGoVygVkxZySvi,1,S
9wy3LV9FrGzFbZ9R6bsTJ38fZcFoTFJu7PaeWoS1Mts9,1,S
A5RD2WKyGpSZoHcYgBs22ZvXBMBmbTtVb1S42ajpKFab,2,L
